user_text,Geography.Geographical,Geography.Regions.Africa.Africa*,Geography.Regions.Africa.Central_Africa,Geography.Regions.Africa.Eastern_Africa,Geography.Regions.Africa.Northern_Africa,Geography.Regions.Africa.Southern_Africa,Geography.Regions.Africa.Western_Africa,Geography.Regions.Americas.Central_America,Geography.Regions.Americas.North_America,Geography.Regions.Americas.South_America,Geography.Regions.Asia.Asia*,Geography.Regions.Asia.Central_Asia,Geography.Regions.Asia.East_Asia,Geography.Regions.Asia.North_Asia,Geography.Regions.Asia.South_Asia,Geography.Regions.Asia.Southeast_Asia,Geography.Regions.Asia.West_Asia,Geography.Regions.Europe.Eastern_Europe,Geography.Regions.Europe.Europe*,Geography.Regions.Europe.Northern_Europe,Geography.Regions.Europe.Southern_Europe,Geography.Regions.Europe.Western_Europe,Geography.Regions.Oceania,total,top_label
Practice M. Perfect,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,Geography.Regions.Americas.North_America
Hartenhof,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,27,0,29,Geography.Regions.Europe.Western_Europe
Mithoron,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,19,4,0,0,2,0,29,Geography.Regions.Europe.Eastern_Europe
SrpskiAnonimac,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,8,14,0,0,0,1,29,Geography.Regions.Europe.Europe*
RedBull1984,1,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,1,8,1,1,2,0,0,29,Geography.Regions.Asia.Asia*
Ceaseless Watcher,0,1,0,0,0,0,0,0,12,8,1,0,0,0,0,0,0,0,0,1,5,1,0,29,Geography.Regions.Americas.North_America
SyntaxTerror,0,5,0,0,0,0,0,0,3,1,3,0,1,0,0,0,1,1,4,0,2,7,1,29,Geography.Regions.Europe.Western_Europe
Vítor,0,3,0,0,0,0,0,0,1,11,1,0,1,0,0,0,0,0,1,2,8,1,0,29,Geography.Regions.Americas.South_America
Fosburyflop,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,5,0,0,20,0,29,Geography.Regions.Europe.Western_Europe
Nikson Alexander,0,2,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0,7,0,0,3,0,0,29,Geography.Regions.Asia.North_Asia
ShaggyMike,0,0,0,0,0,0,0,2,11,9,3,0,2,0,0,0,0,0,2,0,0,0,0,29,Geography.Regions.Americas.North_America
Mαrti,0,0,0,0,0,0,0,0,3,11,1,0,0,0,0,0,0,1,10,1,2,0,0,29,Geography.Regions.Americas.South_America
Rodm23,0,0,0,0,0,0,0,0,9,11,1,0,0,0,0,0,0,2,4,0,1,1,0,29,Geography.Regions.Americas.South_America
Angloparlante,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,29,Geography.Regions.Americas.South_America
Goo064s,1,1,0,0,0,0,0,0,3,6,2,0,0,1,0,0,0,2,5,1,7,0,0,29,Geography.Regions.Europe.Southern_Europe
Dodecaedro,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,3,15,0,0,29,Geography.Regions.Europe.Southern_Europe
200.24.37.190,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,3,0,0,4,0,0,29,Geography.Regions.Americas.South_America
Pownerus,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,29,Geography.Regions.Americas.South_America
Llaufen,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,0,0,0,1,0,5,0,0,29,Geography.Regions.Americas.South_America
Heras01,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,29,Geography.Regions.Americas.South_America
Leoaviles2003,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,29,Geography.Regions.Americas.South_America
GryffindorD,1,1,0,0,0,0,0,0,3,0,1,0,0,1,0,0,1,1,4,1,15,0,0,29,Geography.Regions.Europe.Southern_Europe
Dega180,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,14,0,7,0,0,29,Geography.Regions.Europe.Europe*
Limoncellista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,0,29,Geography.Regions.Europe.Southern_Europe
82.61.214.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,Geography.Regions.Oceania
Astubudustu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,4,0,0,29,Geography.Regions.Asia.West_Asia
Ludoash04,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,14,3,2,0,0,0,0,29,Geography.Regions.Asia.West_Asia
Codex91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,3,0,0,29,Geography.Regions.Europe.Europe*
151.31.166.39,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,3,10,0,29,Geography.Regions.Americas.North_America
IJzeren Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,25,0,29,Geography.Regions.Europe.Western_Europe
Tym-lip,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,22,2,0,0,0,0,29,Geography.Regions.Europe.Eastern_Europe
Salicyna,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,12,7,0,2,0,0,29,Geography.Regions.Europe.Eastern_Europe
Sacredotisa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,0,0,1,0,29,Geography.Regions.Europe.Eastern_Europe
Kapsuglan,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,13,9,1,0,1,0,29,Geography.Regions.Europe.Eastern_Europe
Papah12348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,6,0,0,0,0,29,Geography.Regions.Europe.Eastern_Europe
Marek Szymkiewicz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,0,0,29,Geography.Regions.Europe.Eastern_Europe
Nadzik,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,19,4,0,0,0,0,29,Geography.Regions.Europe.Eastern_Europe
Radomczyk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,0,0,1,0,29,Geography.Regions.Europe.Europe*
Dawcio930,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,Geography.Regions.Americas.North_America
Rufus Total,2,5,0,0,0,0,0,2,0,0,6,0,0,6,1,0,0,3,2,1,0,1,0,29,Geography.Regions.Asia.Asia*
Латсиф,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,29,Geography.Regions.Asia.North_Asia
Worobiew,0,1,0,0,0,0,0,0,1,0,8,0,0,2,0,0,0,2,14,0,0,1,0,29,Geography.Regions.Europe.Europe*
Marcus.linneberg,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,24,0,0,0,29,Geography.Regions.Europe.Northern_Europe
92.32.15.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,0,1,0,29,Geography.Regions.Europe.Northern_Europe
ناصر خلبان,4,4,0,0,1,0,0,0,0,0,7,0,0,0,0,0,7,3,1,0,1,0,0,28,Geography.Regions.Asia.Asia*
Three Sixty,0,1,0,0,0,0,0,0,8,0,2,0,0,1,0,0,1,2,11,1,1,0,0,28,Geography.Regions.Europe.Europe*
Wiliam.30,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,Geography.Regions.Africa.Northern_Africa
Tarekehab19999,0,11,0,0,10,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,28,Geography.Regions.Africa.Africa*
Ahmed Mouwad Alhijazi,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,19,0,28,Geography.Regions.Europe.Western_Europe
190.10.199.23,0,0,0,0,0,0,0,0,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,28,Geography.Regions.Americas.North_America
Birkho,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,0,0,18,0,28,Geography.Regions.Europe.Western_Europe
Sofs0307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28,Geography.Regions.Europe.Europe*
Duschgeldrache2,1,0,0,0,0,0,0,1,10,0,2,0,2,0,0,1,0,0,7,0,1,2,1,28,Geography.Regions.Americas.North_America
Giacomo1970,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,6,1,1,14,0,28,Geography.Regions.Europe.Western_Europe
Nico1995fcb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,Geography.Regions.Europe.Western_Europe
Chattus,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,13,1,0,11,0,28,Geography.Regions.Europe.Europe*
X2liro,0,0,0,0,0,0,0,12,1,6,2,0,0,0,0,0,1,1,1,0,0,4,0,28,Geography.Regions.Americas.Central_America
0815 User 4711,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,13,0,0,8,1,28,Geography.Regions.Europe.Europe*
Dk0704,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,26,0,28,Geography.Regions.Europe.Western_Europe
Xocolatl,0,2,0,0,0,0,0,0,2,1,4,0,0,1,0,0,0,1,3,2,2,9,1,28,Geography.Regions.Europe.Western_Europe
Ralf Roletschek,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,3,0,8,2,0,9,0,28,Geography.Regions.Europe.Western_Europe
Sharp111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,Geography.Regions.Europe.Western_Europe
Middle Distance Biker 39,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,6,0,1,15,0,28,Geography.Regions.Europe.Western_Europe
Falten-Jura,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,1,0,0,0,0,0,28,Geography.Regions.Asia.West_Asia
ThurnerRupert,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,8,0,12,0,0,3,0,28,Geography.Regions.Europe.Europe*
176.1.8.164,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,28,Geography.Regions.Asia.Asia*
205.134.215.64,1,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,Geography.Regions.Americas.North_America
Wildel,0,0,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0,0,1,0,0,1,0,28,Geography.Regions.Americas.South_America
Farruh Samadov,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,28,Geography.Regions.Asia.Asia*
Geertes62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28,Geography.Regions.Europe.Europe*
Wester,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,2,4,0,2,11,0,28,Geography.Regions.Europe.Western_Europe
Scalo Lunare,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,17,0,4,1,0,28,Geography.Regions.Europe.Europe*
Paul Hermans,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,6,0,5,13,0,28,Geography.Regions.Europe.Western_Europe
Finstergeist,4,1,0,0,0,0,0,0,2,0,3,0,1,5,0,0,1,4,6,0,0,1,0,28,Geography.Regions.Europe.Europe*
Marcomogollon,0,0,0,0,0,0,0,0,1,7,0,0,16,0,0,0,1,0,3,0,0,0,0,28,Geography.Regions.Asia.East_Asia
Bili925,1,3,0,0,0,0,0,1,1,4,4,0,0,1,0,1,0,0,3,1,4,4,0,28,Geography.Regions.Americas.South_America
PiusXV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,25,0,0,28,Geography.Regions.Europe.Southern_Europe
B.N.Sanchez.,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,6,0,15,0,0,28,Geography.Regions.Europe.Southern_Europe
Varlaam,1,0,0,0,0,0,0,1,2,6,1,0,4,0,2,0,4,1,1,0,3,2,0,28,Geography.Regions.Americas.South_America
Nico21393,1,0,0,0,0,0,0,0,3,18,1,0,0,0,0,0,0,1,0,0,1,3,0,28,Geography.Regions.Americas.South_America
Ángel Páez,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,28,Geography.Regions.Americas.South_America
85.251.167.176,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,18,0,0,28,Geography.Regions.Europe.Southern_Europe
Drhispanicheritage,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,26,0,0,28,Geography.Regions.Europe.Southern_Europe
186.30.45.16,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,28,Geography.Regions.Americas.South_America
Raimundo Pastor,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,22,0,0,28,Geography.Regions.Europe.Southern_Europe
93.35.216.94,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,4,16,0,3,28,Geography.Regions.Europe.Southern_Europe
Siglæ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,28,Geography.Regions.Europe.Southern_Europe
Bbruno,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,15,0,9,2,0,28,Geography.Regions.Europe.Europe*
Carlo Dani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,5,0,4,0,0,28,Geography.Regions.Asia.West_Asia
Lo Scaligero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,22,0,0,28,Geography.Regions.Europe.Southern_Europe
~2025-30945-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,0,0,28,Geography.Regions.Europe.Southern_Europe
Smallprint84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,19,0,28,Geography.Regions.Europe.Western_Europe
~2025-57649-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,Geography.Regions.Europe.Western_Europe
Zwavelsaus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,22,0,28,Geography.Regions.Europe.Western_Europe
Chescargot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,1,8,0,28,Geography.Regions.Europe.Europe*
91.235.231.108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,1,0,0,0,28,Geography.Regions.Europe.Eastern_Europe
Selso,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,0,0,0,0,28,Geography.Regions.Europe.Europe*
Anteortum,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,8,0,0,1,0,28,Geography.Regions.Europe.Eastern_Europe
KujKuń,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,28,Geography.Regions.Europe.Eastern_Europe
PawełMM,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,13,7,1,1,1,0,28,Geography.Regions.Europe.Eastern_Europe
Franz JosepI,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,9,11,0,0,1,0,28,Geography.Regions.Europe.Europe*
~2025-27058-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,28,Geography.Regions.Europe.Eastern_Europe
2A00:F41:188B:D0C6:34DE:294F:5494:3332,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,4,1,1,4,0,28,Geography.Regions.Europe.Eastern_Europe
Mateusz Hübner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,28,Geography.Regions.Europe.Eastern_Europe
Alexandr241012,0,2,0,0,0,0,0,0,11,0,4,0,0,4,0,3,4,0,0,0,0,0,0,28,Geography.Regions.Americas.North_America
Bemule,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0,28,Geography.Regions.Europe.Europe*
Настойчивый,0,0,0,0,12,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,28,Geography.Regions.Asia.North_Asia
85.140.170.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,28,Geography.Regions.Europe.Eastern_Europe
78.158.23.189,0,0,0,0,0,0,0,0,0,0,2,0,8,5,0,1,3,1,0,0,0,8,0,28,Geography.Regions.Asia.East_Asia
Сен3490,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,10,0,0,0,0,28,Geography.Regions.Europe.Europe*
Karymoonx,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,3,2,0,0,0,2,28,Geography.Regions.Asia.Asia*
~2025-63004-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,28,Geography.Regions.Europe.Northern_Europe
83.227.45.81,0,3,0,0,0,0,0,1,3,0,8,0,0,0,0,0,0,0,4,9,0,0,0,28,Geography.Regions.Europe.Northern_Europe
77.240.72.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,28,Geography.Regions.Europe.Northern_Europe
نجية بنت محمد,0,11,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,27,Geography.Regions.Africa.Northern_Africa
طلال,1,0,0,0,1,0,0,1,1,0,5,0,0,0,0,0,17,1,0,0,0,0,0,27,Geography.Regions.Asia.West_Asia
RooTTl,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,11,0,4,0,2,1,0,27,Geography.Regions.Asia.West_Asia
~2025-80099,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,14,0,0,0,0,0,0,27,Geography.Regions.Asia.West_Asia
Mounir Neddi,0,15,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,27,Geography.Regions.Africa.Africa*
Mondtaler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25,0,27,Geography.Regions.Europe.Western_Europe
HistorianoftheMarch,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,22,0,27,Geography.Regions.Europe.Western_Europe
TheTokl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,8,0,27,Geography.Regions.Europe.Europe*
Conan174,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,4,0,1,17,0,27,Geography.Regions.Europe.Western_Europe
B.A.Enz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,16,0,27,Geography.Regions.Europe.Western_Europe
Stephan Klage,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,1,5,0,4,8,0,27,Geography.Regions.Americas.North_America
Mario todte,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,13,0,2,6,0,27,Geography.Regions.Europe.Europe*
Rsk6400,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,10,8,0,0,3,0,27,Geography.Regions.Europe.Eastern_Europe
Ringtonatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,10,0,27,Geography.Regions.Europe.Europe*
Bigbug21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,9,0,27,Geography.Regions.Europe.Europe*
SimchaAzad,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,1,0,27,Geography.Regions.Africa.Africa*
Nicola,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,2,4,0,0,5,0,27,Geography.Regions.Asia.West_Asia
Fantaglobe11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,17,0,27,Geography.Regions.Europe.Western_Europe
2003:C3:6716:2800:EC38:6FB5:113B:8F9D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,27,Geography.Regions.Europe.Europe*
Jensbest,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,9,1,0,12,0,27,Geography.Regions.Europe.Western_Europe
Nere,0,9,0,0,0,0,0,0,0,0,8,0,2,0,0,4,0,0,0,0,0,3,1,27,Geography.Regions.Africa.Africa*
Zyxw,1,0,0,0,1,0,0,1,4,0,5,0,0,0,3,0,1,1,5,4,1,0,0,27,Geography.Regions.Asia.Asia*
Kliek,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,7,0,0,17,0,27,Geography.Regions.Europe.Western_Europe
Yummy346,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,Geography.Regions.Africa.Africa*
French Thutmose III,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,13,0,1,6,1,27,Geography.Regions.Europe.Europe*
Altenmann,0,0,0,0,0,0,0,0,2,0,6,0,2,1,0,0,2,5,6,0,0,3,0,27,Geography.Regions.Asia.Asia*
Gabbe,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,5,13,0,0,1,27,Geography.Regions.Europe.Northern_Europe
LightandDark2000,1,0,0,0,0,0,0,0,5,2,5,0,0,0,1,0,5,0,2,0,1,5,0,27,Geography.Regions.Americas.North_America
Po1111200,0,0,0,0,0,0,0,1,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,27,Geography.Regions.Americas.North_America
ДолбоЯщер,1,0,0,0,0,0,0,1,1,1,4,0,0,10,0,0,0,2,4,1,0,2,0,27,Geography.Regions.Asia.North_Asia
MinervaAustral,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,2,1,1,3,1,0,0,27,Geography.Regions.Americas.South_America
Motiv888,0,0,0,0,0,0,0,0,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,27,Geography.Regions.Americas.South_America
Fernando Goncalves 1800,2,0,0,0,1,0,0,3,0,0,1,0,0,0,1,0,0,0,15,0,0,4,0,27,Geography.Regions.Europe.Europe*
Ibai Rementeria,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,2,3,2,12,1,0,27,Geography.Regions.Europe.Southern_Europe
Yiyicarre,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,2,0,27,Geography.Regions.Americas.South_America
AlexisST2025,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,23,0,1,0,0,0,0,27,Geography.Regions.Asia.West_Asia
2.138.125.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,24,0,0,27,Geography.Regions.Europe.Southern_Europe
Minuanoencapital,3,0,0,0,0,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,3,0,0,27,Geography.Regions.Americas.South_America
Hernan Aedo,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,27,Geography.Regions.Americas.South_America
Dulceridentem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18,0,6,0,0,27,Geography.Regions.Europe.Europe*
DG~nlwiki,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,19,0,27,Geography.Regions.Europe.Western_Europe
~2025-19129-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,27,Geography.Regions.Europe.Eastern_Europe
Laked98,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,8,3,0,1,3,27,Geography.Regions.Europe.Europe*
Keisyz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,27,Geography.Regions.Europe.Eastern_Europe
Halast,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,22,3,0,0,0,0,27,Geography.Regions.Europe.Eastern_Europe
82.160.139.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,27,Geography.Regions.Europe.Eastern_Europe
Mariankagh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,27,Geography.Regions.Europe.Eastern_Europe
Владлен Манилов,0,0,0,0,0,0,0,0,4,0,9,0,0,1,1,0,0,10,2,0,0,0,0,27,Geography.Regions.Europe.Eastern_Europe
Dmartyn80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,13,0,0,27,Geography.Regions.Europe.Southern_Europe
Джунгарик228,0,0,0,0,0,0,0,0,0,0,16,0,0,8,0,0,0,2,1,0,0,0,0,27,Geography.Regions.Asia.Asia*
IL50,0,0,0,0,0,0,0,0,7,5,3,0,0,2,0,0,2,0,2,6,0,0,0,27,Geography.Regions.Americas.North_America
Senya48,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,0,1,5,10,1,0,1,0,27,Geography.Regions.Europe.Europe*
ბაჩანა შენგელია,0,0,0,0,0,0,0,0,2,0,4,0,0,3,0,0,4,2,10,0,0,2,0,27,Geography.Regions.Europe.Europe*
Adavyd,1,3,0,0,0,0,0,0,10,1,1,0,0,3,0,0,0,5,3,0,0,0,0,27,Geography.Regions.Americas.North_America
Skirienko,0,0,0,0,0,0,0,1,0,0,5,0,4,3,0,0,2,1,9,1,0,1,0,27,Geography.Regions.Europe.Europe*
Kroul,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,27,Geography.Regions.Asia.North_Asia
Ochota ta Wola,0,0,0,0,0,0,0,0,0,0,2,0,2,8,1,0,0,9,5,0,0,0,0,27,Geography.Regions.Europe.Eastern_Europe
YM411,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,6,8,0,0,0,0,27,Geography.Regions.Asia.North_Asia
BFPlayer 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,0,27,Geography.Regions.Europe.Eastern_Europe
Vyacheslav84,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,11,2,0,0,4,0,27,Geography.Regions.Europe.Eastern_Europe
Letoffs,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,27,Geography.Regions.Asia.North_Asia
2.63.252.81,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,1,10,0,0,0,0,27,Geography.Regions.Asia.Asia*
83.250.73.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,27,Geography.Regions.Europe.Northern_Europe
Dezedien,0,2,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,26,Geography.Regions.Americas.North_America
Elph,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,19,0,1,1,0,0,0,26,Geography.Regions.Asia.West_Asia
Bjh21,0,0,0,0,0,0,0,1,0,0,5,0,1,0,14,0,1,1,0,0,1,2,0,26,Geography.Regions.Asia.South_Asia
Gerbil,0,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,17,0,26,Geography.Regions.Europe.Western_Europe
JoachimKohler-HB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,23,0,26,Geography.Regions.Europe.Western_Europe
Trollflöjten,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,15,0,4,4,0,26,Geography.Regions.Europe.Europe*
